user_id,assigned_group,personality_type,travel_frequency
172,A,comfort-oriented,daily
173,B,efficiency-oriented,rarely
174,A,comfort-oriented,rarely
175,B,efficiency-oriented,weekly
176,A,efficiency-oriented,weekly
177,B,efficiency-oriented,daily
178,A,efficiency-oriented,weekly
179,B,efficiency-oriented,weekly
180,A,comfort-oriented,weekly
181,A,efficiency-oriented,daily
182,A,neutral,weekly
183,B,comfort-oriented,daily
184,B,efficiency-oriented,daily
185,A,comfort-oriented,daily
186,B,comfort-oriented,weekly
187,B,comfort-oriented,weekly
188,B,comfort-oriented,daily
189,B,neutral,daily
190,A,comfort-oriented,daily
191,A,neutral,daily
192,B,comfort-oriented,daily
193,B,comfort-oriented,daily
194,B,efficiency-oriented,daily
195,A,efficiency-oriented,daily
196,A,comfort-oriented,weekly
197,B,neutral,daily
198,B,efficiency-oriented,daily
199,B,comfort-oriented,weekly
200,B,comfort-oriented,weekly
201,B,efficiency-oriented,weekly
202,A,comfort-oriented,weekly
203,A,neutral,daily
204,B,comfort-oriented,daily
205,B,efficiency-oriented,daily
206,A,neutral,daily
207,A,efficiency-oriented,daily
208,B,efficiency-oriented,daily
209,A,efficiency-oriented,daily
210,A,efficiency-oriented,daily
211,B,comfort-oriented,daily
212,B,efficiency-oriented,daily
213,B,efficiency-oriented,weekly
214,A,efficiency-oriented,weekly
215,B,efficiency-oriented,rarely
216,A,neutral,daily
217,A,comfort-oriented,rarely
218,B,comfort-oriented,rarely
219,B,efficiency-oriented,daily
220,B,efficiency-oriented,daily
221,B,comfort-oriented,daily
222,B,neutral,daily
223,A,efficiency-oriented,daily
224,A,efficiency-oriented,weekly
225,A,efficiency-oriented,daily
226,A,comfort-oriented,daily
227,B,efficiency-oriented,daily
228,A,comfort-oriented,daily
229,B,efficiency-oriented,weekly
230,B,comfort-oriented,rarely
231,B,efficiency-oriented,daily
232,B,efficiency-oriented,rarely
233,B,efficiency-oriented,weekly
234,A,efficiency-oriented,daily
235,A,comfort-oriented,daily
236,B,efficiency-oriented,daily
237,A,neutral,daily
238,A,neutral,daily
239,B,comfort-oriented,weekly
240,A,neutral,weekly
241,B,comfort-oriented,daily
242,B,comfort-oriented,daily
243,B,comfort-oriented,daily
244,A,efficiency-oriented,daily
245,A,comfort-oriented,daily
246,B,efficiency-oriented,daily
247,A,comfort-oriented,daily
248,B,comfort-oriented,daily
249,B,efficiency-oriented,weekly
250,B,comfort-oriented,daily
251,A,comfort-oriented,daily
252,A,efficiency-oriented,weekly
253,B,efficiency-oriented,daily
254,A,efficiency-oriented,rarely
255,A,comfort-oriented,daily
256,B,efficiency-oriented,daily
257,B,efficiency-oriented,daily
258,B,efficiency-oriented,weekly
259,B,comfort-oriented,daily
260,A,comfort-oriented,daily
261,B,comfort-oriented,weekly
262,B,comfort-oriented,daily
263,A,comfort-oriented,daily
264,B,efficiency-oriented,daily
265,B,efficiency-oriented,daily
266,B,efficiency-oriented,daily
267,B,efficiency-oriented,rarely
268,B,efficiency-oriented,weekly
269,A,comfort-oriented,daily
270,A,comfort-oriented,daily
271,B,efficiency-oriented,daily
272,B,efficiency-oriented,daily
273,B,efficiency-oriented,daily
274,B,efficiency-oriented,weekly
275,B,efficiency-oriented,daily
276,B,efficiency-oriented,daily
277,B,efficiency-oriented,daily
278,B,efficiency-oriented,daily
279,B,comfort-oriented,weekly
280,B,efficiency-oriented,daily
281,B,efficiency-oriented,weekly
282,A,efficiency-oriented,daily
283,A,efficiency-oriented,weekly
284,A,comfort-oriented,rarely
285,B,efficiency-oriented,daily
286,A,efficiency-oriented,weekly
287,A,comfort-oriented,weekly
288,B,efficiency-oriented,daily
289,A,efficiency-oriented,daily
290,B,comfort-oriented,daily
291,A,neutral,daily
292,A,efficiency-oriented,daily
293,B,efficiency-oriented,daily
294,A,efficiency-oriented,rarely
295,A,efficiency-oriented,daily
296,B,efficiency-oriented,daily
297,B,comfort-oriented,weekly
298,A,efficiency-oriented,daily
299,B,efficiency-oriented,daily
300,A,comfort-oriented,daily
301,A,efficiency-oriented,daily
302,B,comfort-oriented,daily
303,B,comfort-oriented,daily
304,B,efficiency-oriented,rarely
305,B,comfort-oriented,daily
306,B,comfort-oriented,daily
307,B,comfort-oriented,daily
308,A,comfort-oriented,rarely
309,B,comfort-oriented,daily
310,A,comfort-oriented,daily
311,A,efficiency-oriented,daily
312,A,comfort-oriented,daily
313,A,neutral,daily
314,B,comfort-oriented,daily
315,B,comfort-oriented,daily
316,B,comfort-oriented,daily
317,A,efficiency-oriented,daily
318,A,efficiency-oriented,daily
319,A,comfort-oriented,daily
320,A,neutral,rarely
321,B,comfort-oriented,rarely
322,B,efficiency-oriented,weekly
323,B,efficiency-oriented,daily
324,A,comfort-oriented,daily
325,B,comfort-oriented,weekly
326,B,neutral,daily
327,B,efficiency-oriented,daily
328,B,comfort-oriented,daily
329,A,efficiency-oriented,daily
330,A,efficiency-oriented,daily
331,A,efficiency-oriented,daily
332,B,comfort-oriented,rarely
333,A,efficiency-oriented,daily
334,A,efficiency-oriented,weekly
335,A,efficiency-oriented,daily
336,A,comfort-oriented,daily
337,B,efficiency-oriented,daily
338,B,efficiency-oriented,daily
339,A,efficiency-oriented,weekly
340,A,comfort-oriented,daily
341,A,neutral,daily
342,A,comfort-oriented,rarely
343,A,neutral,rarely
344,A,comfort-oriented,weekly
345,A,efficiency-oriented,daily
346,B,comfort-oriented,weekly
347,B,efficiency-oriented,daily
348,A,efficiency-oriented,weekly
349,A,efficiency-oriented,daily
350,B,comfort-oriented,weekly
351,B,comfort-oriented,weekly
352,B,efficiency-oriented,daily
353,B,comfort-oriented,rarely
354,A,efficiency-oriented,daily
355,A,neutral,rarely
356,B,neutral,daily
357,A,comfort-oriented,weekly
358,B,comfort-oriented,daily
359,B,neutral,daily
360,B,efficiency-oriented,daily
361,A,comfort-oriented,weekly
362,B,efficiency-oriented,weekly
363,A,efficiency-oriented,weekly
364,B,efficiency-oriented,weekly
365,B,comfort-oriented,daily
366,A,efficiency-oriented,weekly
367,B,comfort-oriented,daily
368,B,efficiency-oriented,daily
369,A,efficiency-oriented,weekly
370,A,comfort-oriented,rarely
371,A,efficiency-oriented,daily
372,A,comfort-oriented,daily
373,A,efficiency-oriented,daily
374,B,efficiency-oriented,weekly
375,A,comfort-oriented,daily
376,A,efficiency-oriented,daily
377,B,comfort-oriented,rarely
378,A,efficiency-oriented,daily
379,B,comfort-oriented,weekly
380,A,efficiency-oriented,rarely
381,A,efficiency-oriented,daily
382,B,neutral,rarely
383,B,efficiency-oriented,weekly
384,B,comfort-oriented,rarely
385,B,efficiency-oriented,daily
386,B,comfort-oriented,daily
387,A,efficiency-oriented,daily
388,A,comfort-oriented,weekly
389,B,efficiency-oriented,weekly
390,B,efficiency-oriented,daily
391,B,efficiency-oriented,daily
392,A,efficiency-oriented,weekly
393,A,efficiency-oriented,weekly
394,B,efficiency-oriented,daily
395,A,efficiency-oriented,daily
396,B,comfort-oriented,daily
397,B,efficiency-oriented,daily
398,A,efficiency-oriented,daily
399,B,comfort-oriented,daily
400,B,efficiency-oriented,daily
401,A,efficiency-oriented,daily
402,B,comfort-oriented,daily
403,B,comfort-oriented,daily
404,B,comfort-oriented,daily
405,A,efficiency-oriented,daily
406,B,efficiency-oriented,weekly
407,A,neutral,rarely
408,A,comfort-oriented,daily
409,B,neutral,weekly
410,A,efficiency-oriented,weekly
411,A,comfort-oriented,daily
412,B,efficiency-oriented,rarely
413,B,comfort-oriented,daily
414,B,efficiency-oriented,daily
415,B,efficiency-oriented,weekly
416,A,neutral,daily
417,A,efficiency-oriented,weekly
418,A,comfort-oriented,rarely
419,B,efficiency-oriented,daily
420,B,efficiency-oriented,weekly
421,B,efficiency-oriented,daily
422,B,efficiency-oriented,daily
423,A,comfort-oriented,daily
424,A,efficiency-oriented,weekly
425,A,efficiency-oriented,weekly
426,B,comfort-oriented,weekly
427,A,efficiency-oriented,weekly
428,B,efficiency-oriented,daily
429,A,comfort-oriented,daily
430,A,efficiency-oriented,rarely
431,A,comfort-oriented,weekly
432,B,efficiency-oriented,weekly
433,B,neutral,weekly
434,A,neutral,daily
435,A,comfort-oriented,daily
436,B,efficiency-oriented,daily
437,A,comfort-oriented,weekly
438,B,comfort-oriented,daily
439,B,efficiency-oriented,rarely
440,A,efficiency-oriented,daily
441,A,efficiency-oriented,rarely
442,B,comfort-oriented,weekly
443,A,efficiency-oriented,daily
444,A,comfort-oriented,weekly
445,B,efficiency-oriented,daily
446,B,efficiency-oriented,daily
447,B,comfort-oriented,rarely
448,B,efficiency-oriented,weekly
449,A,comfort-oriented,daily
450,A,neutral,rarely
451,B,comfort-oriented,daily
452,B,efficiency-oriented,daily
453,A,neutral,weekly
454,B,efficiency-oriented,daily
455,A,efficiency-oriented,daily
456,A,efficiency-oriented,weekly
457,A,efficiency-oriented,daily
458,A,efficiency-oriented,daily
459,A,comfort-oriented,daily
460,A,efficiency-oriented,daily
461,A,efficiency-oriented,weekly
462,B,comfort-oriented,daily
463,B,efficiency-oriented,rarely
464,B,comfort-oriented,daily
465,B,comfort-oriented,daily
466,A,efficiency-oriented,weekly
467,A,comfort-oriented,rarely
468,B,efficiency-oriented,daily
469,A,comfort-oriented,daily
470,B,efficiency-oriented,weekly
471,A,efficiency-oriented,rarely
472,B,comfort-oriented,daily
473,A,efficiency-oriented,daily
474,B,comfort-oriented,daily
475,B,comfort-oriented,daily
476,B,efficiency-oriented,weekly
477,A,efficiency-oriented,weekly
478,B,efficiency-oriented,daily
479,B,efficiency-oriented,daily
480,B,comfort-oriented,daily
481,B,efficiency-oriented,daily
482,B,efficiency-oriented,daily
483,A,neutral,daily
484,B,efficiency-oriented,daily
485,B,neutral,weekly
486,B,comfort-oriented,daily
487,A,neutral,weekly
488,A,comfort-oriented,weekly
489,B,neutral,rarely
490,B,efficiency-oriented,weekly
491,A,comfort-oriented,weekly
492,B,efficiency-oriented,daily
493,A,neutral,daily
494,A,efficiency-oriented,daily
495,A,comfort-oriented,weekly
496,A,efficiency-oriented,daily
497,B,comfort-oriented,daily
498,A,efficiency-oriented,daily
499,B,neutral,daily
500,B,comfort-oriented,daily
501,B,neutral,daily
502,B,efficiency-oriented,daily
503,A,efficiency-oriented,weekly
504,B,efficiency-oriented,daily
505,B,efficiency-oriented,weekly
506,A,efficiency-oriented,weekly
507,B,efficiency-oriented,weekly
508,B,comfort-oriented,daily
509,B,efficiency-oriented,daily
510,B,efficiency-oriented,daily
511,B,comfort-oriented,daily
512,A,efficiency-oriented,daily
513,B,efficiency-oriented,daily
514,B,efficiency-oriented,rarely
515,A,comfort-oriented,rarely
516,A,comfort-oriented,rarely
517,A,comfort-oriented,daily
518,B,neutral,daily
519,B,efficiency-oriented,weekly
520,A,comfort-oriented,daily
521,B,comfort-oriented,daily
522,A,neutral,daily
523,B,comfort-oriented,daily
524,B,efficiency-oriented,weekly
525,B,efficiency-oriented,daily
526,A,efficiency-oriented,rarely
527,A,efficiency-oriented,daily
528,A,efficiency-oriented,daily
529,A,efficiency-oriented,daily
530,B,comfort-oriented,daily
531,B,comfort-oriented,weekly
532,B,comfort-oriented,weekly
533,B,comfort-oriented,daily
534,B,efficiency-oriented,daily
535,B,comfort-oriented,daily
536,B,efficiency-oriented,daily
537,B,efficiency-oriented,daily
538,A,efficiency-oriented,daily
539,A,comfort-oriented,daily
540,A,comfort-oriented,rarely
541,B,comfort-oriented,daily
542,B,efficiency-oriented,daily
543,A,efficiency-oriented,weekly
544,B,neutral,daily
545,B,comfort-oriented,daily
546,A,comfort-oriented,daily
547,A,comfort-oriented,daily
548,B,neutral,daily
549,B,efficiency-oriented,daily
550,B,efficiency-oriented,weekly
551,B,efficiency-oriented,weekly
552,B,neutral,daily
553,B,efficiency-oriented,daily
554,B,efficiency-oriented,weekly
555,B,comfort-oriented,weekly
556,A,neutral,daily
557,A,efficiency-oriented,daily
558,A,comfort-oriented,daily
559,B,neutral,daily
560,B,comfort-oriented,daily
561,B,efficiency-oriented,daily
562,A,comfort-oriented,daily
563,A,comfort-oriented,rarely
564,A,efficiency-oriented,daily
565,A,comfort-oriented,weekly
566,B,efficiency-oriented,daily
567,A,comfort-oriented,daily
568,A,comfort-oriented,daily
569,B,comfort-oriented,daily
570,A,efficiency-oriented,weekly
571,B,comfort-oriented,daily
572,B,efficiency-oriented,daily
573,A,comfort-oriented,weekly
574,B,efficiency-oriented,rarely
575,B,comfort-oriented,daily
576,B,efficiency-oriented,daily
577,A,efficiency-oriented,weekly
578,B,efficiency-oriented,daily
579,A,efficiency-oriented,daily
580,A,efficiency-oriented,daily
581,A,comfort-oriented,daily
582,B,efficiency-oriented,daily
583,A,efficiency-oriented,daily
584,A,efficiency-oriented,daily
585,B,comfort-oriented,daily
586,A,comfort-oriented,daily
587,A,efficiency-oriented,rarely
588,A,efficiency-oriented,daily
589,A,efficiency-oriented,daily
590,A,efficiency-oriented,daily
591,A,comfort-oriented,daily
592,B,efficiency-oriented,daily
593,A,comfort-oriented,rarely
594,A,efficiency-oriented,rarely
595,B,comfort-oriented,daily
596,A,comfort-oriented,rarely
597,B,comfort-oriented,daily
598,A,comfort-oriented,daily
599,A,efficiency-oriented,daily
600,A,efficiency-oriented,daily
601,A,efficiency-oriented,weekly
602,A,efficiency-oriented,daily
603,A,efficiency-oriented,daily
604,A,neutral,daily
605,A,comfort-oriented,weekly
606,A,efficiency-oriented,daily
607,A,efficiency-oriented,daily
608,A,efficiency-oriented,rarely
609,B,efficiency-oriented,daily
610,B,efficiency-oriented,daily
611,A,comfort-oriented,rarely
612,B,efficiency-oriented,weekly
613,B,efficiency-oriented,weekly
614,A,efficiency-oriented,rarely
615,B,efficiency-oriented,daily
616,B,efficiency-oriented,daily
617,A,efficiency-oriented,daily
618,A,efficiency-oriented,weekly
619,B,efficiency-oriented,weekly
620,B,efficiency-oriented,weekly
621,A,efficiency-oriented,daily
622,A,efficiency-oriented,weekly
623,A,efficiency-oriented,rarely
624,A,efficiency-oriented,weekly
625,B,comfort-oriented,weekly
626,A,efficiency-oriented,weekly
627,A,efficiency-oriented,daily
628,B,efficiency-oriented,rarely
629,A,efficiency-oriented,weekly
630,A,comfort-oriented,daily
631,B,neutral,daily
632,B,efficiency-oriented,daily
633,B,comfort-oriented,daily
634,B,comfort-oriented,daily
635,A,comfort-oriented,weekly
636,A,efficiency-oriented,daily
637,B,comfort-oriented,daily
638,A,efficiency-oriented,daily
639,A,neutral,weekly
640,A,comfort-oriented,daily
641,A,efficiency-oriented,daily
642,A,comfort-oriented,daily
643,A,neutral,weekly
644,A,efficiency-oriented,weekly
645,A,efficiency-oriented,daily
646,B,neutral,daily
647,B,efficiency-oriented,daily
648,B,comfort-oriented,daily
649,B,efficiency-oriented,daily
650,A,efficiency-oriented,daily
651,A,efficiency-oriented,daily
652,B,comfort-oriented,weekly
653,B,efficiency-oriented,daily
654,B,efficiency-oriented,daily
655,A,comfort-oriented,weekly
656,A,efficiency-oriented,daily
657,A,neutral,weekly
658,A,efficiency-oriented,daily
659,B,comfort-oriented,daily
660,B,efficiency-oriented,daily
661,A,efficiency-oriented,daily
662,B,comfort-oriented,rarely
663,B,efficiency-oriented,daily
664,A,efficiency-oriented,daily
665,A,efficiency-oriented,daily
666,A,efficiency-oriented,daily
667,A,efficiency-oriented,weekly
668,A,neutral,daily
669,A,efficiency-oriented,weekly
670,A,comfort-oriented,weekly
671,A,efficiency-oriented,weekly
672,B,neutral,rarely
673,A,efficiency-oriented,daily
674,B,efficiency-oriented,daily
675,A,efficiency-oriented,daily
676,B,comfort-oriented,daily
677,A,efficiency-oriented,weekly
678,A,comfort-oriented,daily
679,B,comfort-oriented,daily
680,B,efficiency-oriented,weekly
681,B,comfort-oriented,daily
682,A,efficiency-oriented,daily
683,A,efficiency-oriented,daily
684,B,efficiency-oriented,daily
685,B,comfort-oriented,daily
686,B,efficiency-oriented,daily
687,B,efficiency-oriented,daily
688,A,comfort-oriented,daily
689,B,comfort-oriented,weekly
690,A,efficiency-oriented,weekly
691,A,efficiency-oriented,rarely
692,A,efficiency-oriented,rarely
693,B,efficiency-oriented,weekly
694,A,efficiency-oriented,daily
695,A,efficiency-oriented,daily
696,B,efficiency-oriented,daily
697,A,efficiency-oriented,daily
698,B,comfort-oriented,daily
699,A,comfort-oriented,daily
700,A,efficiency-oriented,daily
701,B,efficiency-oriented,daily
702,A,efficiency-oriented,daily
703,A,neutral,weekly
704,A,comfort-oriented,daily
705,A,efficiency-oriented,daily
706,B,efficiency-oriented,daily
707,A,efficiency-oriented,weekly
708,B,comfort-oriented,weekly
709,A,efficiency-oriented,daily
710,B,comfort-oriented,daily
711,B,comfort-oriented,daily
712,B,efficiency-oriented,weekly
713,A,efficiency-oriented,daily
714,A,comfort-oriented,daily
715,A,efficiency-oriented,daily
716,B,comfort-oriented,weekly
717,B,efficiency-oriented,daily
718,B,comfort-oriented,daily
719,A,comfort-oriented,daily
720,B,efficiency-oriented,weekly
721,B,comfort-oriented,weekly
722,A,efficiency-oriented,daily
723,A,efficiency-oriented,weekly
724,B,comfort-oriented,daily
725,B,efficiency-oriented,weekly
726,B,efficiency-oriented,daily
727,A,comfort-oriented,daily
728,B,comfort-oriented,daily
729,A,efficiency-oriented,rarely
730,A,neutral,daily
731,A,comfort-oriented,rarely
732,B,efficiency-oriented,daily
733,B,efficiency-oriented,daily
734,B,efficiency-oriented,rarely
735,A,efficiency-oriented,daily
736,B,comfort-oriented,weekly
737,A,efficiency-oriented,daily
738,B,comfort-oriented,weekly
739,A,comfort-oriented,daily
740,A,neutral,weekly
741,A,efficiency-oriented,daily
742,A,comfort-oriented,daily
743,B,neutral,weekly
744,B,efficiency-oriented,weekly
745,A,efficiency-oriented,rarely
746,B,efficiency-oriented,weekly
747,A,efficiency-oriented,daily
748,B,efficiency-oriented,daily
749,B,neutral,weekly
750,B,comfort-oriented,daily
751,A,efficiency-oriented,daily
752,B,efficiency-oriented,weekly
753,B,comfort-oriented,daily
754,A,efficiency-oriented,daily
755,A,efficiency-oriented,rarely
756,B,neutral,daily
757,B,efficiency-oriented,daily
758,B,efficiency-oriented,daily
759,B,efficiency-oriented,weekly
760,B,efficiency-oriented,daily
761,A,comfort-oriented,weekly
762,A,efficiency-oriented,weekly
763,A,efficiency-oriented,daily
764,B,efficiency-oriented,daily
765,A,efficiency-oriented,rarely
766,B,neutral,rarely
767,B,efficiency-oriented,daily
768,B,comfort-oriented,daily
769,A,efficiency-oriented,weekly
770,B,efficiency-oriented,daily
771,A,efficiency-oriented,daily
772,B,neutral,daily
773,A,comfort-oriented,daily
774,A,efficiency-oriented,daily
775,B,efficiency-oriented,daily
776,A,efficiency-oriented,weekly
777,A,comfort-oriented,weekly
778,B,efficiency-oriented,daily
779,B,efficiency-oriented,daily
780,B,efficiency-oriented,daily
781,B,comfort-oriented,rarely
782,B,efficiency-oriented,daily
783,A,efficiency-oriented,daily
784,A,efficiency-oriented,daily
785,A,efficiency-oriented,rarely
786,B,efficiency-oriented,weekly
787,B,comfort-oriented,daily
788,A,efficiency-oriented,daily
789,A,comfort-oriented,daily
790,B,neutral,daily
791,A,comfort-oriented,daily
792,B,efficiency-oriented,daily
793,B,efficiency-oriented,daily
794,B,neutral,daily
795,A,comfort-oriented,daily
796,B,efficiency-oriented,weekly
797,B,comfort-oriented,daily
798,B,neutral,weekly
799,B,efficiency-oriented,daily
800,B,efficiency-oriented,daily
801,B,efficiency-oriented,daily
802,A,efficiency-oriented,weekly
803,B,comfort-oriented,daily
804,B,efficiency-oriented,daily
805,A,neutral,weekly
806,B,comfort-oriented,daily
807,B,neutral,daily
808,B,efficiency-oriented,daily
809,A,efficiency-oriented,weekly
810,A,efficiency-oriented,daily
811,B,efficiency-oriented,daily
812,B,comfort-oriented,daily
813,A,efficiency-oriented,weekly
814,B,comfort-oriented,daily
815,B,efficiency-oriented,daily
816,B,efficiency-oriented,daily
817,B,comfort-oriented,rarely
818,A,efficiency-oriented,weekly
819,A,efficiency-oriented,daily
820,A,comfort-oriented,weekly
821,B,comfort-oriented,daily
822,A,comfort-oriented,daily
823,A,comfort-oriented,daily
824,A,comfort-oriented,weekly
825,B,efficiency-oriented,daily
826,B,neutral,weekly
827,A,neutral,weekly
828,A,efficiency-oriented,daily
829,B,neutral,daily
830,A,comfort-oriented,daily
831,A,comfort-oriented,daily
832,A,efficiency-oriented,daily
833,A,efficiency-oriented,weekly
834,A,comfort-oriented,weekly
835,A,efficiency-oriented,daily
836,A,comfort-oriented,daily
837,B,efficiency-oriented,daily
838,A,efficiency-oriented,daily
839,B,efficiency-oriented,weekly
840,B,neutral,daily
841,A,efficiency-oriented,daily
842,B,comfort-oriented,daily
843,A,comfort-oriented,daily
844,B,comfort-oriented,daily
845,A,efficiency-oriented,daily
846,A,neutral,weekly
847,A,comfort-oriented,weekly
848,B,comfort-oriented,daily
849,B,neutral,daily
850,B,efficiency-oriented,weekly
851,A,efficiency-oriented,weekly
852,B,comfort-oriented,daily
853,A,efficiency-oriented,weekly
854,B,comfort-oriented,weekly
855,A,comfort-oriented,daily
856,A,comfort-oriented,daily
857,A,neutral,daily
858,A,neutral,daily
859,B,efficiency-oriented,daily
860,A,efficiency-oriented,daily
861,B,comfort-oriented,daily
862,A,comfort-oriented,daily
863,B,efficiency-oriented,daily
864,A,efficiency-oriented,daily
865,A,efficiency-oriented,daily
866,B,neutral,weekly
867,A,efficiency-oriented,daily
868,A,efficiency-oriented,rarely
869,B,comfort-oriented,daily
870,B,efficiency-oriented,daily
871,A,efficiency-oriented,daily
872,A,efficiency-oriented,daily
873,B,efficiency-oriented,daily
874,A,neutral,weekly
875,A,efficiency-oriented,weekly
876,A,efficiency-oriented,daily
877,B,neutral,daily
878,B,efficiency-oriented,rarely
879,A,efficiency-oriented,weekly
880,A,comfort-oriented,daily
881,A,comfort-oriented,rarely
882,B,comfort-oriented,weekly
883,A,efficiency-oriented,daily
884,A,efficiency-oriented,daily
885,B,comfort-oriented,weekly
886,A,efficiency-oriented,weekly
887,B,comfort-oriented,daily
888,A,efficiency-oriented,daily
889,A,efficiency-oriented,daily
890,A,neutral,weekly
891,B,comfort-oriented,daily
892,B,efficiency-oriented,daily
893,B,comfort-oriented,daily
894,A,efficiency-oriented,weekly
895,B,neutral,daily
896,A,efficiency-oriented,daily
897,A,efficiency-oriented,rarely
898,B,comfort-oriented,daily
899,A,comfort-oriented,rarely
900,A,comfort-oriented,weekly
